movieId,title,actors,director,keyWords,similarMovies,watchProviders
1841,"Gingerbread Man, The (1998)","Kenneth Branagh, Embeth Davidtz, Robert Downey Jr., Daryl Hannah, Tom Berenger",Robert Altman,"daughter, lawyer, savannah georgia, legal thriller","11:14, Monster House, Thir13en Ghosts, Red Corner, A Civil Action",
1844,Live Flesh (Carne trémula) (1997),"Javier Bardem, Francesca Neri, Liberto Rabal, Ángela Molina, José Sancho",Pedro Almodóvar,"sexual obsession, prostitute, adultery, adolescence, drug abuse","Tales from the Crypt: Demon Knight, Young Guns II, Thesis, Look Who's Talking Too, The Bone Collector",
1845,Zero Effect (1998),"Bill Pullman, Ben Stiller, Ryan O'Neal, Kim Dickens, Angela Featherstone",Jake Kasdan,"detective, blackmail, whodunit","Confidential Assignment, Witness, The Longest Yard, Hudson Hawk, Fallen",
1848,"Borrowers, The (1997)","John Goodman, Mark Williams, Jim Broadbent, Celia Imrie, Flora Newbigin",Peter Hewitt,"dwarf, household, lawyer, based on children's book, little people","Mad Max Beyond Thunderdome, Thir13en Ghosts, Glengarry Glen Ross, A Civil Action, Two Weeks Notice",
1855,Krippendorf's Tribe (1998),"Richard Dreyfuss, Jenna Elfman, Zakes Mokae, Siobhan Fallon Hogan, Natasha Lyonne",Todd Holland,"single parent, based on novel or book, expedition, professor, college","Just Cause, Love Story, The Sword in the Stone, Medicine Man, Nineteen Eighty-Four",
1856,Kurt & Courtney (1998),"Nick Broomfield, Dylan Carlson, Kurt Cobain, El Duce, Larry Flynt",Nick Broomfield,"singing, embryo, living under the bridge, music rights","Ice Age: Collision Course, Swing Time, Adam's Rib, Cats Don't Dance, Arizona",
1857,"Real Blonde, The (1997)","Daryl Hannah, Catherine Keener, Bridgette Wilson-Sampras, Kathleen Turner, Elizabeth Berkley",Tom DiCillo,"photographer, satire, conspiracy, model, fashion","The Four Feathers, Blue Crush, Eraser, 11:14, Hudson Hawk",
1858,Mr. Nice Guy (Yat goh ho yan) (1997),"Jackie Chan, Richard Norton, Miki Lee, Gabrielle Fitzpatrick, Karen McLymont",Sammo Hung,"journalist, martial arts, drug dealer","Police Story, The Faculty, Mortal Kombat, Ong Bak: Muay Thai Warrior, The Avengers",
1859,Taste of Cherry (Ta'm e guilass) (1997),"Homayoun Ershadi, Abdolrahman Bagheri, Afshin Khorshid Bakhtiari, Safar Ali Moradi, Mir Hossein Noori",Abbas Kiarostami,"suicide, muslim, teheran (tehran), iran, driving, iranian new wave","To Wong Foo, Thanks for Everything! Julie Newmar, Eraser, Apt Pupil, The Third One, Disturbing Behavior","Max, Max Amazon Channel, HBO Max, Criterion Channel"
1860,Character (Karakter) (1997),"Jan Decleir, Fedja van Huêt, Betty Schuurman, Tamar van den Dop, Victor Löw",Mike van Diem,law and ethics,"The Children Act, Sapthagiri LLB, Under the Danger to Society Law, Un racisme à peine voilé, Against the Law",
1862,Species II (1998),"Michael Madsen, Natasha Henstridge, Marg Helgenberger, Mykelti Williamson, George Dzundza",Peter Medak,"washington dc, usa, telepathy, dna, mercenary, pregnancy","The Cave, Just Cause, The Sword in the Stone, S.W.A.T., Thesis","DIRECTV, Cinemax Amazon Channel"
1863,Major League: Back to the Minors (1998),"Scott Bakula, Corbin Bernsen, Dennis Haysbert, Takaaki Ishibashi, Jensen Daggett",John Warren,"baseball, trainer, baseball bat, career, training","1:1 Thierry Henry, Blue Crush, The Longest Yard, Police Academy, Nacho Libre",
1866,"Big Hit, The (1998)","Mark Wahlberg, Lou Diamond Phillips, Christina Applegate, China Chow, Avery Brooks",Kirk Wong,"bungee-jump, dark comedy, video store, kosher, stealing a car","Election, Heathers, Executive Decision, Blood Punch, American Beauty","Max, HBO Max, Max Amazon Channel, DIRECTV"
1867,Tarzan and the Lost City (1998),"Casper Van Dien, Jane March, Steven Waddington, Winston Ntshona, Rapulana Seiphemo",Carl Schenkel,"africa, tarzan","Ace Ventura: When Nature Calls, Danger Zone, The Legend of Tarzan, Allan Quatermain and the Lost City of Gold, I Dreamed of Africa",
1870,"Dancer, Texas Pop. 81 (1998)","Breckin Meyer, Peter Facinelli, Eddie Mills, Ethan Embry, Ashley Johnson",Tim McCanlies,"small town, texas","Just Cause, Beautiful Girls, Tremors, Raw Deal, Reindeer Games",
1873,"Misérables, Les (1998)","Liam Neeson, Geoffrey Rush, Uma Thurman, Claire Danes, Hans Matheson",Bille August,"paris, france, falsely accused, based on novel or book, prisoner, blackmail","Just Cause, Love Story, The Sword in the Stone, Mary Reilly, The Longest Yard",
1875,Clockwatchers (1997),"Toni Collette, Parker Posey, Lisa Kudrow, Alanna Ubach, Helen FitzGerald",Jill Sprecher,"competition, office, female friendship, job promotion, woman director","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, The Craft, Blue Crush, John Tucker Must Die","fuboTV, Showtime Apple TV Channel, Showtime Amazon Channel, Showtime, DIRECTV"
1876,Deep Impact (1998),"Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave, Morgan Freeman",Mimi Leder,"usa president, nasa, metereologist, space mission, comet","The Brady Bunch Movie, The American President, To Wong Foo, Thanks for Everything! Julie Newmar, John Tucker Must Die, Microcosmos","AMC+ Amazon Channel, DIRECTV"
1881,Quest for Camelot (1998),"Jessalyn Gilsig, Andrea Corr, Cary Elwes, Bryan White, Gary Oldman",Frederik Du Chau,"sword, camelot, king arthur, dragon, knights of the round table","The Sword in the Stone, King Arthur, Eragon, Beowulf, DragonHeart",
1882,Godzilla (1998),"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria, Kevin Dunn",Roland Emmerich,"new york city, atomic bomb, intelligence, missile, destroy","1:1 Thierry Henry, The Cave, Spies Like Us, To Wong Foo, Thanks for Everything! Julie Newmar, The Four Feathers","AMC+ Amazon Channel, AMC+ Roku Premium Channel, DIRECTV"
1883,Bulworth (1998),"Kimberly Deauna Adams, Vinny Argiro, Sean Astin, Kirk Baltz, Ernie Lee Banks",Warren Beatty,"washington dc, usa, hip-hop, mission of murder, politics, election campaign","Ali G Indahouse, Clear and Present Danger, Election, Murder at 1600, Romeo Must Die","Max, Max Amazon Channel, DIRECTV"
1884,Fear and Loathing in Las Vegas (1998),"Johnny Depp, Benicio del Toro, Tobey Maguire, Christina Ricci, Ellen Barkin",Terry Gilliam,"casino, based on novel or book, 1970s, hallucination, fake identity","Just Cause, Love Story, Living in Oblivion, The Man, The Sword in the Stone",
1885,"Opposite of Sex, The (1998)","Christina Ricci, Martin Donovan, Lisa Kudrow, Lyle Lovett, Johnny Galecki",Don Roos,"louisiana, dying and death, stepfather, teacher, teenage girl","To Wong Foo, Thanks for Everything! Julie Newmar, The Faculty, Final Destination 3, Click, Election",Hoopla
1887,Almost Heroes (1998),"Chris Farley, Matthew Perry, Bokeem Woodbine, Barry Del Sherman, Eugene Levy",Christopher Guest,"fight, bravery, slapstick comedy, interracial relationship, native american","Young Guns II, The Four Feathers, Ace Ventura: When Nature Calls, Maverick, The Last of the Mohicans",
1888,Hope Floats (1998),"Sandra Bullock, Harry Connick Jr., Gena Rowlands, Mae Whitman, Michael Paré",Forest Whitaker,"texas, telegram, despair, leaving one's family, funeral","The Faculty, Beautiful Girls, John Tucker Must Die, High School High, Click",
1889,Insomnia (1997),"Stellan Skarsgård, Maria Mathiesen, Sverre Anker Ousdal, Gisken Armand, Kristian Figenschow",Erik Skjoldbjærg,"detective, fog, hallucination, insomnia, investigation","Confidential Assignment, Witness, Final Destination 3, Bound, The Man in the Iron Mask",Criterion Channel
1891,"Ugly, The (1997)","Paolo Rotondo, Rebecca Hobbs, Chris Graham, Darien Takle, Roy Ward",Scott Reynolds,"psychoanalysis, razor, gore, psychiatric hospital, serial killer","Just Cause, Thesis, Mortal Kombat, Click, Final Destination 2",
1892,"Perfect Murder, A (1998)","Michael Douglas, Gwyneth Paltrow, Viggo Mortensen, David Suchet, Sarita Choudhury",Andrew Davis,"jealousy, blackmail, artist, extramarital affair","Snow White: A Tale of Terror, The Longest Yard, Hudson Hawk, Death Becomes Her, Election",
1893,Beyond Silence (Jenseits der Stille) (1996),"Sylvie Testud, Tatjana Trieb, Howie Seago, Emmanuelle Laborit, Sibylle Canonica",Caroline Link,"berlin, germany, loss of loved one, becoming an adult, deaf-mute, translation","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, Final Destination 3, John Tucker Must Die, Monster House",
1894,Six Days Seven Nights (1998),"Harrison Ford, Anne Heche, David Schwimmer, Jacqueline Obradors, Temuera Morrison",Ivan Reitman,"island, vacation, overleven","Mortal Kombat, Enter the Dragon, Spy Kids 2: The Island of Lost Dreams, Disturbing Behavior, Breakdown","DIRECTV, Cinemax Amazon Channel"
1895,Can't Hardly Wait (1998),"Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli",Deborah Kaplan,"alcohol, american football, regret, homophobia, radio","Love Story, The Brady Bunch Movie, Harlem Nights, To Wong Foo, Thanks for Everything! Julie Newmar, Blue Crush","Max, HBO Max, Max Amazon Channel, DIRECTV, Cinemax Amazon Channel"
1897,High Art (1998),"Radha Mitchell, Gabriel Mann, Ally Sheedy, Patricia Clarkson, Charis Michelsen",Lisa Cholodenko,"new york city, photographer, heroin, exploitation, career","1:1 Thierry Henry, 10, The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, The Four Feathers",realeyz
1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)","Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi",Majid Majidi,"sibling relationship, class, foot race","Look Who's Talking Too, The Man Who Knew Too Little, The Crow: Salvation, The Glass House, Spanglish","Hoopla, CBS"
1902,Dream for an Insomniac (1996),"Ione Skye, Jennifer Aniston, Mackenzie Astin, Michael Landes, Seymour Cassel",Tiffanie DeBartolo,"dancing, jealousy, dream, insomnia, police","Confidential Assignment, 10, Waking Life, Harlem Nights, Snow White: A Tale of Terror",
1904,Henry Fool (1997),"Thomas Jay Ryan, James Urbaniak, Parker Posey, Maria Porter, James Saito",Hal Hartley,"alcohol, new jersey, garbageman , politics, murder","Tristan & Isolde, Police Story, The Element of Crime, The Four Feathers, The Good Son","MUBI, MUBI Amazon Channel"
1906,Mr. Jealousy (1997),"Eric Stoltz, Annabella Sciorra, Chris Eigeman, Carlos Jacott, Marianne Jean-Baptiste",Noah Baumbach,"jealousy, substitute teacher","Snow White: A Tale of Terror, Death Becomes Her, Election, He Got Game, 2:37",
1907,Mulan (1998),"Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer, Harvey Fierstein",Tony Bancroft,"china, homeland, villain, musical, sexism","The Longest Day, American Dreamz, Mortal Kombat, The Avengers, The Jungle Book",Disney Plus
1909,"X-Files: Fight the Future, The (1998)","David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis, John Neville",Rob Bowman,"bomb, helicopter, obsession, extraterrestrial technology, fbi","Broken Arrow, Eraser, 11:14, Hudson Hawk, Monster House",
1910,I Went Down (1997),"Brendan Gleeson, Peter McDonald, Tony Doyle, Peter Caffrey, Antoine Byrne",Paddy Breathnach,"hostage, gangster, release from prison, dublin, ireland, hoodlum","Police Story, Harlem Nights, Sudden Death, Eraser, Hudson Hawk","Amazon Prime Video, Hoopla"
1911,Dr. Dolittle (1998),"Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle, Richard Schiff",Betty Thomas,"san francisco, california, based on novel or book, veterinarian, tiger, monkey","Just Cause, Love Story, The Brady Bunch Movie, The Sword in the Stone, To Wong Foo, Thanks for Everything! Julie Newmar",Disney Plus
1912,Out of Sight (1998),"George Clooney, Jennifer Lopez, Ving Rhames, Don Cheadle, Steve Zahn",Steven Soderbergh,"bedroom, prison escape, heist, u.s. marshal, locked in trunk of car","Welcome to Collinwood, Eraser, Cliffhanger, Desperate Measures, The Sting",Peacock Premium
1913,Picnic at Hanging Rock (1975),"Rachel Roberts, Vivean Gray, Helen Morse, Kirsty Child, Tony Llewellyn-Jones",Peter Weir,"based on novel or book, australia, orphanage, girls' boarding school, hanging rock","Only You, Just Cause, Love Story, The Element of Crime, Living in Oblivion","Max, HBO Max, Max Amazon Channel, Criterion Channel"
1914,Smoke Signals (1998),"Adam Beach, Evan Adams, Irene Bedard, Gary Farmer, Tantoo Cardinal",Chris Eyre,"idaho, male friendship, road trip, native american, orphan","Young Guns II, To Wong Foo, Thanks for Everything! Julie Newmar, The Jungle Book, Maverick, The Last of the Mohicans","Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, Hoopla"
1916,Buffalo '66 (a.k.a. Buffalo 66) (1998),"Vincent Gallo, Christina Ricci, Ben Gazzara, Anjelica Huston, Rosanna Arquette",Vincent Gallo,"prison, gambling, bowling, winter, kidnapping","Young Guns II, Ace Ventura: When Nature Calls, The Longest Yard, Thesis, Bound",
1917,Armageddon (1998),"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler, Will Patton",Michael Bay,"saving the world, paris, france, moon, washington dc, usa, loss of loved one","Death to Smoochy, Mortal Kombat, Flightplan, The Nutty Professor, Click","Max, HBO Max, Max Amazon Channel, DIRECTV, Cinemax Amazon Channel"
1918,Lethal Weapon 4 (1998),"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Chris Rock",Richard Donner,"showdown, police, sequel, mixed martial arts, los angeles, california","Confidential Assignment, Police Story, The Man, Harlem Nights, Young Guns II",
1919,Madeline (1998),"Hatty Jones, Frances McDormand, Nigel Hawthorne, Ben Daniels, Arturo Venegas",Daisy von Scherler Mayer,"orphan, based on children's book, tutor, woman director, paris","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, John Tucker Must Die, Monster House, Microcosmos",Hulu
1920,Small Soldiers (1998),"Gregory Smith, Kirsten Dunst, Denis Leary, Phil Hartman, David Cross",Joe Dante,"defense industry, toy shop, technical toy, soldier, prototype","The Four Feathers, The Longest Day, Soldier, Final Fantasy: The Spirits Within, Liberty Stands Still","Amazon Prime Video, fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, MGM Plus, CBS"
1921,Pi (1998),"Sean Gullette, Mark Margolis, Ben Shenkman, Pamela Hart, Stephen Pearlman",Darren Aronofsky,"new york city, hacker, mathematician, paranoia, helix","1:1 Thierry Henry, To Wong Foo, Thanks for Everything! Julie Newmar, The Faculty, Phenomenon, Species",
1922,Whatever (1998),"Liza Weil, Frederic Forrest, Kathryn Rossetter, Marc Riffon, Chad Morgan",Susan Skoog,"new jersey, drugs, woman director","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, The Four Feathers, The Craft, The Faculty",
1923,There's Something About Mary (1998),"Cameron Diaz, Ben Stiller, Matt Dillon, Lee Evans, Chris Elliott",Bobby Farrelly,"surgeon, stalker, romantic comedy, dream girl, taboo","One Hour Photo, You've Got Mail, Blue Steel, Two Weeks Notice, Married to the Mob","DIRECTV, TNT, TBS, tru TV"
1924,Plan 9 from Outer Space (1959),"Gregory Walcott, Mona McKinnon, Duke Moore, Tom Keene, Carl Anthony",Edward D. Wood Jr.,"california, stewardess, fog, tombstone, resurrection","Living in Oblivion, The Faculty, The Mask of Zorro, Species, Mad Max Beyond Thunderdome","Hoopla, DIRECTV, MUBI, MUBI Amazon Channel, TCM, Film Movement Plus, FilmBox+"
1926,"Broadway Melody, The (1929)","Charles King, Anita Page, Bessie Love, Betty Arthur, J. Emmett Beck",Harry Beaumont,"new york city, musical, singer, pre-code, vaudeville","1:1 Thierry Henry, To Wong Foo, Thanks for Everything! Julie Newmar, American Dreamz, The Jungle Book, Donnie Brasco",
1927,All Quiet on the Western Front (1930),"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy, Ben Alexander",Lewis Milestone,"germany, disillusion, based on novel or book, patriotism, world war i","Just Cause, Love Story, The Sword in the Stone, The Four Feathers, Beautiful Girls",
1928,Cimarron (1931),"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier Jr.",Wesley Ruggles,"gunslinger, newspaper, indian territory, family history, frontier","Renaissance, Dead Men Don't Wear Plaid, Pleasantville, Clerks, Dracula",
1929,Grand Hotel (1932),"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lionel Barrymore",Edmund Goulding,"hotel, card game, burglar, industrialist, stolen money","Tristan & Isolde, Police Story, Love Story, The Element of Crime, The Four Feathers",
1931,Mutiny on the Bounty (1935),"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan",Frank Lloyd,"captain, boat, mutiny, island, sailing","Down Periscope, Broken Arrow, The Longest Day, Mortal Kombat, The Man in the Iron Mask",
1932,"Great Ziegfeld, The (1936)","William Powell, Myrna Loy, Luise Rainer, Frank Morgan, Fanny Brice",Robert Z. Leonard,"biography, producer, broadway","Super Duper Alice Cooper, Tove, The Perfect Storm, Spanglish, The Aviator",
1933,"Life of Emile Zola, The (1937)","Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden, Donald Crisp",William Dieterle,"scandal, biography, historical figure, black and white, writer","Mary Reilly, Renaissance, Dead Men Don't Wear Plaid, Election, A Knight's Tale",
1934,You Can't Take It with You (1938),"Jean Arthur, James Stewart, Lionel Barrymore, Edward Arnold, Mischa Auer",Frank Capra,"harmonica, monopoly, tycoon, house, love","10, The Brady Bunch Movie, Harlem Nights, Thesis, Thir13en Ghosts",
1936,Mrs. Miniver (1942),"Greer Garson, Walter Pidgeon, Teresa Wright, May Whitty, Reginald Owen",William Wyler,"england, based on novel or book, hostage, world war ii, prisoner of war","Leave the World Behind, Just Cause, Love Story, The Sword in the Stone, Sudden Death",IndieFlix
1937,Going My Way (1944),"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown, Gene Lockhart",Leo McCarey,"new york city, choir, male friendship, musical, priest","1:1 Thierry Henry, Europa, To Wong Foo, Thanks for Everything! Julie Newmar, American Dreamz, The Jungle Book",
1938,"Lost Weekend, The (1945)","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling",Billy Wilder,"paranoia, bartender, brother, addiction, alcoholism","The Faculty, S1m0ne, The Last Boy Scout, Species, Renaissance",
1939,"Best Years of Our Lives, The (1946)","Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo",William Wyler,"post traumatic stress disorder, war veteran, world war ii, rehabilitation, bodily disabled person","The Longest Day, Renaissance, Ghosts of War, Dead Men Don't Wear Plaid, The Possession of Hannah Grace",Amazon Prime Video
1940,Gentleman's Agreement (1947),"Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm, Anne Revere",Elia Kazan,"new york city, based on novel or book, magazine, anti-semitism, black and white","1:1 Thierry Henry, Just Cause, Love Story, The Sword in the Stone, The American President",
1941,Hamlet (1948),"Laurence Olivier, Jean Simmons, John Laurie, Esmond Knight, Anthony Quayle",Laurence Olivier,"father murder, based on play or musical, fratricide","The Whale, Stardust, Closer, Dracula, 10 Things I Hate About You","Max, Max Amazon Channel, HBO Max, Criterion Channel"
1942,All the King's Men (1949),"Broderick Crawford, John Ireland, Joanne Dru, John Derek, Mercedes McCambridge",Robert Rossen,"southern usa, based on novel or book, newspaper, governor, politics","Just Cause, Love Story, The Sword in the Stone, Nineteen Eighty-Four, The Jungle Book",fuboTV
1944,From Here to Eternity (1953),"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra",Fred Zinnemann,"based on novel or book, beach, hawaii, world war ii, harassment","10, Just Cause, Love Story, Europa, The Sword in the Stone","Max, HBO Max, Max Amazon Channel"
1945,On the Waterfront (1954),"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning",Elia Kazan,"new jersey, murder, mafia, black and white, union","Flying Home, Tristan & Isolde, Police Story, Just Cause, The Element of Crime",Criterion Channel
1946,Marty (1955),"Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli, Joe Mantell",Delbert Mann,"italian american, butcher, marriage, love, teacher","10, The Faculty, Election, Le Divorce, Sorry If I Call You Love",
1947,West Side Story (1961),"Natalie Wood, Richard Beymer, Rita Moreno, George Chakiris, Russ Tamblyn",Robert Wise,"slum, street gang, love at first sight, showdown, puerto rico","Love Story, Harlem Nights, Eraser, American Dreamz, The Avengers","Paramount Plus Apple TV Channel , Hoopla, DIRECTV, TCM"
1948,Tom Jones (1963),"Albert Finney, Susannah York, Hugh Griffith, Edith Evans, Joan Greenwood",Tony Richardson,"based on novel or book, rags to riches, sword fight, breaking the fourth wall, tutor","Police Story, Just Cause, Love Story, The Sword in the Stone, The Man in the Iron Mask","Max, HBO Max, Max Amazon Channel, Criterion Channel"
1949,"Man for All Seasons, A (1966)","Paul Scofield, Wendy Hiller, Leo McKern, Robert Shaw, Orson Welles",Fred Zinnemann,"england, pope, beheading, death penalty, protestant church","Final Destination 3, Red Corner, Pope Joan, The Whale, The Golden Compass",
1950,In the Heat of the Night (1967),"Sidney Poitier, Rod Steiger, Warren Oates, Peter Whitney, Lee Grant",Norman Jewison,"southern usa, black people, small town, police chief, racial segregation","Tristan & Isolde, Police Story, Just Cause, The Element of Crime, The Four Feathers","fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, Criterion Channel, MGM Plus, IndieFlix"
1951,Oliver! (1968),"Ron Moody, Shani Wallis, Oliver Reed, Harry Secombe, Joseph O'Conor",Carol Reed,"london, england, based on novel or book, pickpocket, musical, orphanage","Just Cause, Love Story, The Sword in the Stone, Mary Reilly, American Dreamz","Max, HBO Max, Max Amazon Channel"
1952,Midnight Cowboy (1969),"Jon Voight, Dustin Hoffman, Sylvia Miles, John McGiver, Brenda Vaccaro",John Schlesinger,"new york city, based on novel or book, texas, shower, hustler","1:1 Thierry Henry, Just Cause, Love Story, The Sword in the Stone, To Wong Foo, Thanks for Everything! Julie Newmar","fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, Hoopla, MGM Plus"
1953,"French Connection, The (1971)","Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco, Marcel Bozzuffi",William Friedkin,"new york city, police brutality, marseille, france, night life, attempted murder","1:1 Thierry Henry, Police Story, To Wong Foo, Thanks for Everything! Julie Newmar, The Faculty, Witness",Criterion Channel
1954,Rocky (1976),"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith",John G. Avildsen,"underdog, philadelphia, pennsylvania, transporter, italian american, fight","1:1 Thierry Henry, Tristan & Isolde, Broken Arrow, Blue Crush, Witness","Netflix, Amazon Prime Video"
1955,Kramer vs. Kramer (1979),"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff",Robert Benton,"husband wife relationship, custody battle, marriage, divorce, family","10, Jingle All the Way, Look Who's Talking Too, Fallen, Glass Chin",
1956,Ordinary People (1980),"Donald Sutherland, Mary Tyler Moore, Timothy Hutton, Judd Hirsch, M. Emmet Walsh",Robert Redford,"post traumatic stress disorder, chicago, illinois, based on novel or book, depression, suicide attempt","Just Cause, Love Story, The Sword in the Stone, The Craft, Nineteen Eighty-Four","Amazon Prime Video, fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, MGM Plus, CBS"
1957,Chariots of Fire (1981),"Ben Cross, Ian Charleson, Cheryl Campbell, Alice Krige, Nigel Havers",Hugh Hudson,"underdog, scotland, missionary, jewry, patriotism","1:1 Thierry Henry, Europa, Blue Crush, The Longest Day, The Longest Yard",
1958,Terms of Endearment (1983),"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito, Jeff Daniels",James L. Brooks,"loss of loved one, based on novel or book, parent child relationship, texas, cancer","Just Cause, Love Story, The Sword in the Stone, Medicine Man, The Good Son","Max, Max Amazon Channel, HBO Max, DIRECTV, Cinemax Amazon Channel"
1959,Out of Africa (1985),"Robert Redford, Meryl Streep, Klaus Maria Brandauer, Michael Kitchen, Malick Bowens",Sydney Pollack,"africa, infidelity, lion, safari, farm","10, Ace Ventura: When Nature Calls, Babe: Pig in the City, Election, Le Divorce","Netflix, Netflix basic with Ads"
1960,"Last Emperor, The (1987)","John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying, Victor Wong",Bernardo Bertolucci,"buddhism, suicide, china, suicide attempt, war crimes","Europa, Harlem Nights, The Craft, Eraser, The Faculty","Max, HBO Max, Max Amazon Channel, Criterion Channel"
1961,Rain Man (1988),"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock",Barry Levinson,"individual, loss of loved one, mentally disabled, autism, yuppie","Europa, To Wong Foo, Thanks for Everything! Julie Newmar, Death to Smoochy, Flightplan, The Nutty Professor","AMC Plus Apple TV Channel , AMC+ Amazon Channel, AMC+ Roku Premium Channel, DIRECTV"
1962,Driving Miss Daisy (1989),"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone, Esther Rolle",Bruce Beresford,"individual, 1970s, culture clash, chauffeur, atlanta","Europa, Donnie Brasco, Starsky & Hutch, Dead Men Don't Wear Plaid, The Way of the Dragon","Max, HBO Max, Max Amazon Channel, DIRECTV"
1963,Take the Money and Run (1969),"Woody Allen, Janet Margolin, Marcel Hillaire, Jacquelyn Hyde, Lonny Chapman",Woody Allen,"prison, pickpocket, jinx, bad luck, wedding","Young Guns II, The Longest Yard, Click, He Got Game, The Last Castle",
1964,Klute (1971),"Jane Fonda, Donald Sutherland, Charles Cioffi, Roy Scheider, Dorothy Tristan",Alan J. Pakula,"new york city, prostitute, detective, cat, obsession","Confidential Assignment, 1:1 Thierry Henry, Tales from the Crypt: Demon Knight, Just Cause, The Element of Crime",
1965,Repo Man (1984),"Harry Dean Stanton, Emilio Estevez, Tracey Walter, Olivia Barash, Sy Richardson",Alex Cox,"punk rock, police, ufo, radioactivity, surrealism","Confidential Assignment, The Cave, Living in Oblivion, Harlem Nights, The Four Feathers",
1966,Metropolitan (1990),"Edward Clements, Chris Eigeman, Taylor Nichols, Carolyn Farina, Isabel Gillies",Whit Stillman,"upper class, new york city, philosophy, manhattan, new york city, debutante","1:1 Thierry Henry, Waking Life, To Wong Foo, Thanks for Everything! Julie Newmar, Donnie Brasco, Lionheart","Max, HBO Max, Max Amazon Channel, Criterion Channel"
1967,Labyrinth (1986),"David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson, Christopher Malcolm",Jim Henson,"maze, babysitter, castle, musical, baby-snatching","Tristan & Isolde, Snow White: A Tale of Terror, Hot Shots! Part Deux, Jingle All the Way, Beautiful Girls",
1968,"Breakfast Club, The (1985)","Emilio Estevez, Paul Gleason, Anthony Michael Hall, John Kapelos, Judd Nelson",John Hughes,"high school, tardy hall, coming of age, detention, 1980s","The Craft, The Faculty, Beautiful Girls, John Tucker Must Die, High School High","Netflix, Netflix basic with Ads"
1969,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)","Robert Englund, Mark Patton, Kim Myers, Robert Rusler, Clu Gulager",Jack Sholder,"fire, dream, diary, nightmare, haunted house","The Sword in the Stone, Waking Life, Young Guns II, The Good Son, The Faculty",
1970,"Nightmare on Elm Street 3: Dream Warriors, A (1987)","Heather Langenkamp, Craig Wasson, Patricia Arquette, Robert Englund, Ken Sagoes",Chuck Russell,"dream, ohio, group therapy, nightmare, hypnosis","Tristan & Isolde, Police Story, The Element of Crime, Europa, Waking Life",
